FID,OBJECTID,MM2_DATO_I,MM2_FECHA_,MM2_DIRECC,MM2_BARRIO,MM2_RURAL,MM2_Long,MM2_Lat,MM2_NOMBRE,MM2_CODIGO,cruce_dato,Elevacion,Pendiente,COD_COB25_,NOM_COB25,SIM_COB25,Id_Riesgo,categ_Ries,GEOLOGIA_1,GEOLOGIA_2,DATO_ID,FUENTE,SOLICITUD,FECHA EVENTO,FECHA EVENTO,DIRECCION,BARRIO_VER,RURAL,Long,Lat,ESTACIÓN,CATEGORIA,ENTIDAD,FECHA_INIC,CODIGO,X,Y,P_24H,P_3DIAS,P_7DIAS,P_10DIAS,P15DIAS,P30DIAS,P60DIAS,P90DIAS
0,1,MM0055,10/6/2020,Puente Azul,Aguacatal,N/A,-76.56652,3.45609,CALI - BOCATOMA,2622400106,MM0055,1071.533325,18.85442352,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0055,BD_SGRED,OPERATIVO,10/6/2020 0:00,10/6/2020CALI - BOCATOMA,Puente Azul,Aguacatal,N/A,-7656652,345609,CALI - BOCATOMA,PG,CVC,9/15/2012,2622400106,1056592.88,873178.34,5.4,6,62.8,67,68.2,88.4,87.2,110
1,2,MM0060,10/23/2020,C 5C Oeste No 47-12,Siloe,N/A,-76.556192,3.421738,LOS CRISTALES,2622330105,MM0060,1066.793579,54.22733688,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0060,BD_SGRED,OPERATIVO,10/23/2020 0:00,10/23/2020LOS CRISTALES,C 5C Oeste No 47-12,Siloe,N/A,-76556192,3421738,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,0,0,52,52,64,121,200,227
2,3,MM0061,10/23/2020,C 5A Oeste No 44-42,Siloe,N/A,-76.556109,3.421841,LOS CRISTALES,2622330105,MM0061,1064.98291,55.21465302,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0061,BD_SGRED,OPERATIVO,10/23/2020 0:00,10/23/2020LOS CRISTALES,C 5A Oeste No 44-42,Siloe,N/A,-76556109,3421841,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,0,0,52,52,64,121,200,227
3,4,MM0063,11/10/2020,Sector Quebrada Filadelfia,Andes Bajo,Los Andes,-76.582461,3.411307,LAS BRISAS,2622330106,MM0063,1098.431641,55.25925827,23170,Pasto cultivado,PCU,4,Riesgo bajo,Ql/Kv,Lateritas Formacion Volcanica,MM0063,BD_SGRED,OPERATIVO,11/10/2020 0:00,11/10/2020LAS BRISAS,Sector Quebrada Filadelfia,Andes Bajo,Los Andes,-76582461,3411307,LAS BRISAS,PM,CVC,25205,2622330106,1054315.22,868345907,0,1,1,2,44,133,217,310
4,5,MM0064,11/10/2020,V�a que de Pichinde conduce a Lomas de la Cajita,Pichinde,Pichinde,-76.613217,3.447359,PICHINDE,2622400108,MM0064,1618.704102,91.37473297,31211,Bosque mixto abierto alto de tierra firme,BNAALT,5,Amenaza alta,Kv,Formacion Volcanica,MM0064,BD_SGRED,OPERATIVO,11/10/2020 0:00,11/10/2020YANACONAS,V?a que de Pichinde conduce a Lomas de la Cajita,Pichinde,Pichinde,-76613217,3447359,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,0,13,13,15,40,107,208,287
5,6,MM0065,11/26/2020,Entrada a Montecitos por Arrayanes,Montebello,Montebello,-76.550649,3.488369,AGUACATAL-MONTEBELLO,2622420101,MM0065,1250.349609,27.43324471,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,Ql/Kv,Lateritas Formacion Volcanica,MM0065,BD_SGRED,OPERATIVO,11/26/2020 0:00,11/26/2020AGUACATAL-MONTEBELLO,Entrada a Montecitos por Arrayanes,Montebello,Montebello,-76550649,3488369,AGUACATAL-MONTEBELLO,PM,CVC,25210,2622420101,1058550,877405612,0,0,0,29,54,90,191,317
6,7,MM0066,11/26/2020,Avenida 47 Oeste con 9 A,Montebello,Montebello,-76.548203,3.488954,AGUACATAL-MONTEBELLO,2622420101,MM0066,1296.32373,40.94035721,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Ql/Kv,Lateritas Formacion Volcanica,MM0066,BD_SGRED,OPERATIVO,11/26/2020 0:00,11/26/2020AGUACATAL-MONTEBELLO,Avenida 47 Oeste con 9 A,Montebello,Montebello,-76548203,3488954,AGUACATAL-MONTEBELLO,PM,CVC,25210,2622420101,1058550,877405612,0,0,0,29,54,90,191,317
7,8,MM0070,11/12/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59536,3.43244,YANACONAS,2622410102,MM0070,1596.688965,68.89835358,31211,Bosque mixto abierto alto de tierra firme,BNAALT,7,Amenaza baja,Kv,Formacion Volcanica,MM0070,BD_SGRED,OPERATIVO,11/12/2020 0:00,11/12/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659536,343244,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,0,0,13,13,50,117,202,275
8,9,MM0071,11/13/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59566,3.43217,YANACONAS,2622410102,MM0071,1600.984985,44.27614212,31211,Bosque mixto abierto alto de tierra firme,BNAALT,7,Amenaza baja,Kv,Formacion Volcanica,MM0071,BD_SGRED,OPERATIVO,11/13/2020 0:00,11/13/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659566,343217,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,10,10,23,23,50,113,212,285
9,10,MM0077,11/27/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59388,3.43307,YANACONAS,2622410102,MM0077,1585.298706,98.12270355,11211,Zonas urbanas discontinuas,ZUD,4,Riesgo bajo,Kv,Formacion Volcanica,MM0077,BD_SGRED,OPERATIVO,11/27/2020 0:00,11/27/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659388,343307,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,0,0,26,42,53,93,198,293
10,11,MM0081,11/27/2020,Corregimiento de los Andes -San Rafael,El Cabuyal,Los Andes,-76.59696,3.43136,YANACONAS,2622410102,MM0081,1657.118408,47.16747665,31211,Bosque mixto abierto alto de tierra firme,BNAALT,7,Amenaza baja,Kv,Formacion Volcanica,MM0081,BD_SGRED,OPERATIVO,11/27/2020 0:00,11/27/2020YANACONAS,Corregimiento de los Andes -San Rafael,El Cabuyal,Los Andes,-7659696,343136,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,0,0,26,42,53,93,198,293
11,12,MM0083,11/27/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59591,3.43068,YANACONAS,2622410102,MM0083,1606.524536,34.39270782,11211,Zonas urbanas discontinuas,ZUD,4,Riesgo bajo,Kv,Formacion Volcanica,MM0083,BD_SGRED,OPERATIVO,11/27/2020 0:00,11/27/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659591,343068,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,0,0,26,42,53,93,198,293
12,13,MM0086,11/27/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59535,3.43227,YANACONAS,2622410102,MM0086,1589.673096,47.11315918,31211,Bosque mixto abierto alto de tierra firme,BNAALT,7,Amenaza baja,Kv,Formacion Volcanica,MM0086,BD_SGRED,OPERATIVO,11/27/2020 0:00,11/27/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659535,343227,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,0,0,26,42,53,93,198,293
13,14,MM0091,1/13/2021,No aplica,Belen- Siloe, ,-76.5563,3.4282,LOS CRISTALES,2622330105,MM0091,1074.7229,61.95690536,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0091,BD_SGRED,Operativo,1/13/2021 0:00,1/13/2021LOS CRISTALES,No aplica,Belen- Siloe, ,-765563,870069,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,0,0,47,72,81,158,276,371
14,15,MM0092,1/11/2021,Avenida 8 Bis Oeste con Calle 24,Alto Aguacatal, ,-76.567125,3.454949,CALI - BOCATOMA,2622400106,MM0092,1115.547119,69.79600525,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0092,BD_SGRED,Operativo,1/11/2021 0:00,1/11/2021CALI - BOCATOMA,Avenida 8 Bis Oeste con Calle 24,Alto Aguacatal, ,-76567125,3454949,CALI - BOCATOMA,PG,CVC,9/15/2012,2622400106,1056592.88,873178.34,0,0,2,2,2,58.4,155.2,244
15,16,MM0094,1/23/2021,Sector La Mina,Altos de Normancia,Golondrinas,-76.54105,3.459758,COLEGIO SAN LUIS,2622400101,MM0094,1190.52356,84.40457916,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0094,BD_SGRED,Operativo,1/23/2021 0:00,1/23/2021COLEGIO SAN LUIS,Sector La Mina,Altos de Normancia,Golondrinas,-7654105,3459758,COLEGIO SAN LUIS,PG,CVC,12785,2622400101,1060105.49,874385876,0,2,1.6,2,2.4,100.4,137.8,180
16,17,MM0099,2/4/2021,Sector La Mina,N/A,Golondrinas,-76.54561,3.46163,EL ANCLA,2622420106,MM0099,1230.651978,75.04990387,35221,Áreas naturales desnudas,ASD,2,Amenaza muy alta,TOg,Formacion Guachinte,MM0099,BD_SGRED,Operativo,2/4/2021 0:00,2/4/2021EL ANCLA,Sector La Mina,N/A,Golondrinas,-7654561,346163,EL ANCLA,PG,Dagma,41648,2622420106,1058687.31,873954,0,0,0.2,3,6.2,42.4,102,140
17,18,MM0100,2/8/2021,C 3Oeste # 45-82,Siloe, ,-76.5552,3.4211,LOS CRISTALES,2622330105,MM0100,1023.285339,16.9596653,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,Kv,Formacion Volcanica,MM0100,BD_SGRED,Operativo,2/8/2021 0:00,2/8/2021LOS CRISTALES,C 3Oeste # 45-82,Siloe, ,-765552,844136,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,20,20,20,20,59,84,203,321
18,19,MM0104,2/16/2021,C 4 D Oeste No 82 D,La Choclona, ,-76.564012,3.381758,NAPOLES,2622330108,MM0104,1104.275879,64.85591888,12211,Otras superficies artificiales sin construcción,OISC,4,Riesgo bajo,Ql/Kv,Lateritas Formacion Volcanica,MM0104,BD_SGRED,Operativo,2/16/2021 0:00,2/16/2021NAPOLES,C 4 D Oeste No 82 D,La Choclona, ,-76564012,3381758,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,0,8,32.8,92,91.6,110.2,186.6,368
19,20,MM0105,2/16/2021,Hospital Departamental Mario Correa Rengifo,Los Chorros,N/A,-76.558543,3.386969,NAPOLES,2622330108,MM0105,1002.814087,37.51337433,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Ql/Kv,Lateritas Formacion Volcanica,MM0105,BD_SGRED,Operativo,2/16/2021 0:00,2/16/2021NAPOLES,Hospital Departamental Mario Correa Rengifo,Los Chorros,N/A,-76558543,3386969,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,0,8,32.8,92,91.6,110.2,186.6,368
20,21,MM0106,2/18/2021,K 46 Bis No 29 - 116 Oeste,Las Parecelas, ,-76.567986,3.423241,LOS CRISTALES,2622330105,MM0106,1163.04895,17.59150505,32310,Vegetación secundaria o transición,VEGSEC,1,Riesgo alto,Ql/Kv,Lateritas Formacion Volcanica,MM0106,BD_SGRED,Operativo,2/18/2021 0:00,2/18/2021LOS CRISTALES,K 46 Bis No 29 - 116 Oeste,Las Parecelas, ,-76567986,3423241,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,0,0,53,129,149,174,332,399
21,22,MM0108,2/22/2021,Pilas de Cabuyal,Pilas de Cabuyal,Los Andes,-76.5711,3.446,CALI - BOCATOMA,2622400106,MM0108,1095.70752,13.08166885,11211,Zonas urbanas discontinuas,ZUD,4,Riesgo bajo,Kv,Formacion Volcanica,MM0108,BD_SGRED,Operativo,2/22/2021 0:00,2/22/2021CALI - BOCATOMA,Pilas de Cabuyal,Pilas de Cabuyal,Los Andes,-765711,3446,CALI - BOCATOMA,PG,CVC,9/15/2012,2622400106,1056592.88,873178.34,12.2,12,14.4,57,100.4,101.4,110.4,177
22,23,MM0109,2/22/2021,Av 8 Oeste No 24 � 24,Alto Aguacatal,N/A,-76.567247,3.455046,CALI - BOCATOMA,2622400106,MM0109,1111.140137,59.7939949,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0109,BD_SGRED,Operativo,2/22/2021 0:00,2/22/2021CALI - BOCATOMA,Av 8 Oeste No 24 ? 24,Alto Aguacatal,N/A,-76567247,3455046,CALI - BOCATOMA,PG,CVC,9/15/2012,2622400106,1056592.88,873178.34,12.2,12,14.4,57,100.4,101.4,110.4,177
23,24,MM0112,2/27/2021,K 46 A No 19A -170,Lleras Camargo,N/A,-76.563261,3.423066,LOS CRISTALES,2622330105,MM0112,1105.901855,43.08423614,32310,Vegetación secundaria o transición,VEGSEC,3,Riesgo medio,Kv,Formacion Volcanica,MM0112,BD_SGRED,Operativo,2/27/2021 0:00,2/27/2021LOS CRISTALES,K 46 A No 19A -170,Lleras Camargo,N/A,-76563261,3423066,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,5,35,85,88,186,282,343,455
24,25,MM0113,2/28/2021,Sector Los Tanques No3,Alto N�poles,N/A,-76.563763,3.384495,NAPOLES,2622330108,MM0113,1165.661255,34.96780777,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0113,BD_SGRED,Operativo,2/28/2021 0:00,2/28/2021NAPOLES,Sector Los Tanques No3,Alto N?poles,N/A,-76563763,3384495,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,15.2,35,52.4,52,104.4,188,204.1,382
25,26,MM0115,3/2/2021,Finca VillaLuz,Los andes alto,Los Andes,-76.6212,3.4242,PICHINDE,2622400108,MM0115,1783.404297,35.72048569,31211,Bosque mixto abierto alto de tierra firme,BNAALT,5,Amenaza alta,Ql/Kv,Lateritas Formacion Volcanica,MM0115,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021YANACONAS,Finca VillaLuz,Los andes alto,Los Andes,-766212,855459,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,5,55,74,91,102,182,272,364
26,27,MM0116,3/2/2021,Km 7 v�a Cristo Rey,Pueblo Nuevo,Los Andes,-76.6275,3.4231,PICHINDE,2622400108,MM0116,1908.621826,33.3497467,23171,Pasto cultivado arbolado,PCUAR,5,Amenaza alta,Kv,Formacion Volcanica,MM0116,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021YANACONAS,Km 7 v?a Cristo Rey,Pueblo Nuevo,Los Andes,-766275,851441,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,5,55,74,91,102,182,272,364
27,28,MM0117,3/2/2021,Km 7 v�a Cristo Rey,Pueblo Nuevo,Los Andes,-76.622,3.4262,PICHINDE,2622400108,MM0117,1762.922119,8.18291378,31111,Bosque mixto denso alto de tierra firme,BNDALT,3,Riesgo medio,Ql/Kv,Lateritas Formacion Volcanica,MM0117,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021YANACONAS,Km 7 v?a Cristo Rey,Pueblo Nuevo,Los Andes,-76622,862764,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,5,55,74,91,102,182,272,364
28,29,MM0119,3/2/2021,Cabecera - La Cajita,Pichinde,Pichinde,-76.6169,3.4453,PICHINDE,2622400108,MM0119,1634.224243,20.92413712,22210,Otros cultivos arbustivos plantados abiertos,OCABA,3,Riesgo medio,Ql/Kv,Lateritas Formacion Volcanica,MM0119,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021YANACONAS,Cabecera - La Cajita,Pichinde,Pichinde,-766169,932526,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,5,55,74,91,102,182,272,364
29,30,MM0120,3/2/2021,Sector Media Torta,El rosario,La Buitrera,-76.5949,3.3795,LILI - SAN SEBASTIAN,2622310201,MM0120,1466.376099,78.8526001,11211,Zonas urbanas discontinuas,ZUD,6,Amenaza media,Ql/Kv,Lateritas Formacion Volcanica,MM0120,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021LILI - SAN SEBASTIAN,Sector Media Torta,El rosario,La Buitrera,-765949,692196,LILI - SAN SEBASTIAN,PG,CVC,8/28/2001,2622310201,1053576.31,864820,16,127,235,287,344,510,670,843
30,31,MM0121,3/2/2021,Cabecera,Pueblo Nuevo,Los Andes,-76.6274,3.4227,PICHINDE,2622400108,MM0121,1921.237183,58.98408127,23171,Pasto cultivado arbolado,PCUAR,5,Amenaza alta,Kv,Formacion Volcanica,MM0121,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021YANACONAS,Cabecera,Pueblo Nuevo,Los Andes,-766274,849980,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,5,55,74,91,102,182,272,364
31,32,MM0122,3/2/2021,Cabecera principal,Los andes alto,Los Andes,-76.6215,3.4258,PICHINDE,2622400108,MM0122,1765.991699,41.07585907,31111,Bosque mixto denso alto de tierra firme,BNDALT,3,Riesgo medio,Ql/Kv,Lateritas Formacion Volcanica,MM0122,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021YANACONAS,Cabecera principal,Los andes alto,Los Andes,-766215,861303,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,5,55,74,91,102,182,272,364
32,33,MM0123,3/2/2021,Cabecera principal - el monasterio,Los andes alto,Los Andes,-76.6214,3.4257,PICHINDE,2622400108,MM0123,1769.028564,15.463274,31111,Bosque mixto denso alto de tierra firme,BNDALT,3,Riesgo medio,Ql/Kv,Lateritas Formacion Volcanica,MM0123,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021YANACONAS,Cabecera principal - el monasterio,Los andes alto,Los Andes,-766214,860938,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,5,55,74,91,102,182,272,364
33,34,MM0124,3/2/2021,Casa 64 Callejon Los Mangos,Parcelacion La Trinidad,La Buitrera,-76.568996,3.394932,IDEAS,2622330111,MM0124,1137.388184,30.3143158,11211,Zonas urbanas discontinuas,ZUD,6,Amenaza media,Ql/Kv,Lateritas Formacion Volcanica,MM0124,BD_SGRED,Operativo,3/2/2021 0:00,3/2/2021CAÑAVERALEJO-EDIFICIO CVC,Casa 64 Callejon Los Mangos,Parcelacion La Trinidad,La Buitrera,-76568996,3394932,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,9.4,95,105,109,110.2,169.6,238.2,327
34,35,MM0125,3/3/2021,Carrera 93 C con calle 2B oeste 87,Alto Chorros, ,-76.55851,3.37987,NAPOLES,2622330108,MM0125,1082.543579,49.40452957,12211,Otras superficies artificiales sin construcción,OISC,1,Riesgo alto,Ql/Kv,Lateritas Formacion Volcanica,MM0125,BD_SGRED,Operativo,3/3/2021 0:00,3/3/2021NAPOLES,Carrera 93 C con calle 2B oeste 87,Alto Chorros, ,-7655851,337987,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,0.8,68,103.8,121,122.1,213.7,272.4,399
35,36,MM0126,3/3/2021,Calle 4 B oeste No. 82 B - 27,La Choclona, ,-76.56268,3.38144,NAPOLES,2622330108,MM0126,1111.325317,79.10561371,12211,Otras superficies artificiales sin construcción,OISC,1,Riesgo alto,Ql/Kv,Lateritas Formacion Volcanica,MM0126,BD_SGRED,Operativo,3/3/2021 0:00,3/3/2021NAPOLES,Calle 4 B oeste No. 82 B - 27,La Choclona, ,-7656268,338144,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,0.8,68,103.8,121,122.1,213.7,272.4,399
36,37,MM0127,3/3/2021,Calle 4B oeste No. 82B 27,La Choclona, ,-76.56271,3.38148,NAPOLES,2622330108,MM0127,1108.620361,80.41010284,12211,Otras superficies artificiales sin construcción,OISC,1,Riesgo alto,Ql/Kv,Lateritas Formacion Volcanica,MM0127,BD_SGRED,Operativo,3/3/2021 0:00,3/3/2021NAPOLES,Calle 4B oeste No. 82B 27,La Choclona, ,-7656271,338148,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,0.8,68,103.8,121,122.1,213.7,272.4,399
37,38,MM0128,3/4/2021,K 40B Oeste #5-30,Belen - Siloe, ,-76.56612,3.427137,LOS CRISTALES,2622330105,MM0128,1265.445801,33.95742416,32310,Vegetación secundaria o transición,VEGSEC,5,Amenaza alta,Ql/Kv,Lateritas Formacion Volcanica,MM0128,BD_SGRED,Operativo,3/4/2021 0:00,3/4/2021LOS CRISTALES,K 40B Oeste #5-30,Belen - Siloe, ,-7656612,3427137,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,0,21,142,175,195,344,441,543
38,39,MM0129,3/5/2021,Calle 4A oeste No 73 - 40,Alto Chorros, ,-76.56028,3.39125,NAPOLES,2622330108,MM0129,1041.69458,24.33342171,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,TOg,Formacion Guachinte,MM0129,BD_SGRED,Operativo,3/5/2021 0:00,3/5/2021NAPOLES,Calle 4A oeste No 73 - 40,Alto Chorros, ,-7656028,339125,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,0,1,101.3,104,121.1,213.7,268.7,390
39,40,MM0130,3/6/2021,Km 12 subiendo tienda tres palmas,Crucero,La Buitrera,-76.59685,3.37507,LILI - SAN SEBASTIAN,2622310201,MM0130,1564.537109,44.81676102,11211,Zonas urbanas discontinuas,ZUD,5,Amenaza alta,TOg,Formacion Guachinte,MM0130,BD_SGRED,Operativo,3/6/2021 0:00,3/6/2021LILI - SAN SEBASTIAN,Km 12 subiendo tienda tres palmas,Crucero,La Buitrera,-7659685,337507,LILI - SAN SEBASTIAN,PG,CVC,8/28/2001,2622310201,1053576.31,864820,0,0,139,247,316,510,607,855
40,41,MM0131,3/7/2021,Finca El Colorado,Andes Bajo,Los Andes,-76.621632,3.424643,PICHINDE,2622400108,MM0131,1782.700317,16.08185196,31111,Bosque mixto denso alto de tierra firme,BNDALT,5,Amenaza alta,Ql/Kv,Lateritas Formacion Volcanica,MM0131,BD_SGRED,Operativo,3/7/2021 0:00,3/7/2021YANACONAS,Finca El Colorado,Andes Bajo,Los Andes,-76621632,3424643,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,8,8,43,72,99,188,269,335
41,42,MM0132,3/7/2021,Finca El Arbolito,Pueblo Nuevo,Los Andes,-76.62922,3.42578,PICHINDE,2622400108,MM0132,1939.212646,76.11689758,31111,Bosque mixto denso alto de tierra firme,BNDALT,6,Amenaza media,Kv,Formacion Volcanica,MM0132,BD_SGRED,Operativo,3/7/2021 0:00,3/7/2021YANACONAS,Finca El Arbolito,Pueblo Nuevo,Los Andes,-7662922,342578,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,8,8,43,72,99,188,269,335
42,43,MM0133,3/7/2021,Finca El Eden,Andes Bajo,Los Andes,-76.62221,3.42715,PICHINDE,2622400108,MM0133,1764.959473,63.82538986,24130,Misceláneo de pastos y cultivos,MSPNCU,3,Riesgo medio,Ql/Kv,Lateritas Formacion Volcanica,MM0133,BD_SGRED,Operativo,3/7/2021 0:00,3/7/2021YANACONAS,Finca El Eden,Andes Bajo,Los Andes,-7662221,342715,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,8,8,43,72,99,188,269,335
43,44,MM0134,3/7/2021,Finca El Porvenir,Pueblo Nuevo,Los Andes,-76.62789,3.42573,PICHINDE,2622400108,MM0134,1861.872803,34.82201386,31111,Bosque mixto denso alto de tierra firme,BNDALT,4,Riesgo bajo,Kv,Formacion Volcanica,MM0134,BD_SGRED,Operativo,3/7/2021 0:00,3/7/2021YANACONAS,Finca El Porvenir,Pueblo Nuevo,Los Andes,-7662789,342573,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,8,8,43,72,99,188,269,335
44,45,MM0135,3/11/2021,C 25 b Oeste,La Arboleda, ,-76.5658,3.4215,LOS CRISTALES,2622330105,MM0135,1089.849487,29.20875931,12211,Otras superficies artificiales sin construcción,OISC,1,Riesgo alto,Kv,Formacion Volcanica,MM0135,BD_SGRED,Operativo,3/11/2021 0:00,3/11/2021LOS CRISTALES,C 25 b Oeste,La Arboleda, ,-765658,845597,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,87,167,188,313,456,536,694
45,46,MM0137,3/11/2021,K 80 A 20 - 04,Alto N�poles - Sal�n Azul, ,-76.561343,3.385521,NAPOLES,2622330108,MM0137,1086.55542,89.61319733,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0137,BD_SGRED,Operativo,3/11/2021 0:00,3/11/2021NAPOLES,K 80 A 20 - 04,Alto N?poles - Sal?n Azul, ,-76561343,3385521,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,9.5,82,91.2,117,215.4,266.2,331.3,434
46,47,MM0138,3/11/2021,Manzana 2 casa 26,Alto Chorros - Sector las minas, ,-76.560752,3.388402,NAPOLES,2622330108,MM0138,1038.540527,32.06097794,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,TOg,Formacion Guachinte,MM0138,BD_SGRED,Operativo,3/11/2021 0:00,3/11/2021NAPOLES,Manzana 2 casa 26,Alto Chorros - Sector las minas, ,-76560752,3388402,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,9.5,82,91.2,117,215.4,266.2,331.3,434
47,48,MM0139,3/11/2021,C 4E Oeste Casa 18,Alto Chorros - Sector las minas, ,-76.562065,3.392538,NAPOLES,2622330108,MM0139,1100.754395,38.08086014,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,TOg,Formacion Guachinte,MM0139,BD_SGRED,Operativo,3/11/2021 0:00,3/11/2021NAPOLES,C 4E Oeste Casa 18,Alto Chorros - Sector las minas, ,-76562065,3392538,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,9.5,82,91.2,117,215.4,266.2,331.3,434
48,49,MM0140,3/11/2021,K 40 B Oeste # 5 - 36,Belen, ,-76.55613,3.42716,LOS CRISTALES,2622330105,MM0140,1054.006714,22.41356659,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0140,BD_SGRED,Operativo,3/11/2021 0:00,3/11/2021LOS CRISTALES,K 40 B Oeste # 5 - 36,Belen, ,-7655613,342716,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,87,167,188,313,456,536,694
49,50,MM0141,3/11/2021,K 40 B Oeste # 5 - 30,Belen, ,-76.556042,3.426866,LOS CRISTALES,2622330105,MM0141,1050.929321,3.863270521,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0141,BD_SGRED,Operativo,3/11/2021 0:00,3/11/2021LOS CRISTALES,K 40 B Oeste # 5 - 30,Belen, ,-76556042,3426866,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,87,167,188,313,456,536,694
